learning_rate,epochs,batch_size,hidden_layer_sizes,mean_accuracy,std_accuracy,mean_time,std_time,total_time,episodes_run
0.1,20,192,"128,128,64",0.97611,0.001665202690365368,6.769296646118164,0.2501654633284876,67.69296646118164,10
0.05,25,128,"128,128,64",0.9760200000000001,0.001554863338046147,10.436129498481751,0.2193102012699821,104.3612949848175,10
0.05,30,128,"128,128,64",0.9759399999999999,0.0008345058418010232,12.665523171424866,0.18518638708119986,126.65523171424866,10
0.1,30,256,"128,128,64",0.97582,0.0013548431643551873,8.97090811729431,0.1603244840555823,89.70908117294312,10
0.1,45,192,"128,128,64",0.9757199999999999,0.007355107069241081,15.175362706184387,0.17096313678213962,151.75362706184387,10
0.1,40,256,"128,128,64",0.97568,0.004405178770492761,12.027878856658935,0.2966789600266787,120.27878856658936,10
0.15,15,192,"128,128,64",0.97561,0.002097355477738574,4.904685544967651,0.15734546733862648,49.046855449676514,10
0.05,40,192,"128,128,64",0.9751100000000001,0.0026830765922723657,13.718942999839783,0.2208687188900156,137.18942999839783,10
0.1,25,192,"128,128,64",0.9749800000000001,0.003581284685695905,8.55439863204956,0.20432677960036663,85.5439863204956,10
0.05,20,128,"128,128,64",0.97488,0.0018962067397834117,8.66861469745636,0.5952593681197998,86.6861469745636,10
0.15,30,256,"128,128,64",0.97486,0.004193375728455541,8.956149101257324,0.19439035744851457,89.56149101257324,10
0.1,35,256,"128,128,64",0.9748300000000001,0.00407579440109533,10.403372764587402,0.1910397933714428,104.03372764587402,10
0.05,45,256,"128,128,64",0.9747399999999999,0.0012587295182047672,13.703004288673402,0.3142848319440181,137.030042886734,10
0.15,20,192,"128,128,64",0.9745799999999999,0.005130263151145362,6.811554431915283,0.13070499952834366,68.11554431915283,10
0.05,35,192,"128,128,64",0.9743999999999999,0.002331523107327059,12.033501243591308,0.30334471062500684,120.33501243591309,10
0.1,10,128,"128,128,64",0.9742900000000001,0.00188438318820775,4.041633486747742,0.19389044826258645,40.41633486747742,10
0.05,40,256,"128,128,64",0.9739699999999999,0.0017320796748417687,12.036598658561706,0.203193208422985,120.36598658561707,10
0.1,15,192,"128,128,64",0.97371,0.0015965274817553185,4.957282066345215,0.12169703436690193,49.57282066345215,10
0.05,10,64,"128,128,64",0.9735699999999999,0.0014704081066153206,6.784421610832214,0.5110742709172259,67.84421610832214,10
0.15,10,192,"128,128,64",0.97339,0.004440596806736672,3.3312133073806764,0.2511357258030632,33.31213307380676,10
0.15,15,256,"128,128,64",0.9733499999999999,0.002180022935659171,4.44801549911499,0.2452447509445161,44.4801549911499,10
0.15,25,256,"128,128,64",0.9732900000000001,0.006439635082828836,7.445931386947632,0.09720639204253849,74.45931386947632,10
0.05,30,192,"128,128,64",0.9731500000000001,0.002115301396964498,10.354530501365662,0.3142250929608764,103.54530501365662,10
